1. 나폴레옹 보나파르트 (Napoleon Bonaparte) | Slug: napoleon-bonaparte | Category: leadership | Era: 19세기의 거인 (18세기 ~ 19세기)
269. 폴 세잔 (Paul Cézanne) | Slug: paul-cezanne | Category: arts | Era: 19세기 후반 ~ 20세기 초반
270. 오귀스트 로댕 (Auguste Rodin) | Slug: auguste-rodin | Category: arts | Era: 19세기
271. 클로드 드뷔시 (Claude Debussy) | Slug: claude-debussy | Category: arts | Era: 19세기 후반 ~ 20세기 초반
272. 버지니아 울프 (Virginia Woolf) | Slug: virginia-woolf | Category: arts | Era: 20세기 초
273. 프란츠 카프카 (Franz Kafka) | Slug: franz-kafka | Category: arts | Era: 20세기 초
274. 제임스 조이스 (James Joyce) | Slug: james-joyce | Category: arts | Era: 20세기 초
275. 자코모 푸치니 (Giacomo Puccini) | Slug: giacomo-puccini | Category: arts | Era: 19세기 후반 ~ 20세기 초반
276. 샤를 보들레르 (Charles Baudelaire) | Slug: charles-baudelaire | Category: arts | Era: 19세기
277. 바실리 칸딘스키 (Wassily Kandinsky) | Slug: wassily-kandinsky | Category: arts | Era: 19세기 말 ~ 20세기 초
278. 폴 고갱 (Paul Gauguin) | Slug: paul-gauguin | Category: arts | Era: 19세기 후반 ~ 20세기 초반
279. 윌리엄 블레이크 (William Blake) | Slug: william-blake | Category: arts | Era: 18세기 후반 ~ 19세기 초반
280. 한스 크리스티안 안데르센 (Hans Christian Andersen) | Slug: hans-christian-andersen | Category: arts | Era: 19세기
281. 러디어드 키플링 (Rudyard Kipling) | Slug: rudyard-kipling | Category: arts | Era: 빅토리아 시대 말 ~ 에드워드 시대
282. 도로시어 랭 (Dorothea Lange) | Slug: dorothea-lange | Category: arts | Era: 20세기
283. 클라라 슈만 (Clara Schumann) | Slug: clara-schumann | Category: arts | Era: 19세기
284. 제인 애덤스 (Jane Addams) | Slug: jane-addams | Category: society | Era: 19세기 말 ~ 20세기 초
285. 마리아 몬테소리 (Maria Montessori) | Slug: maria-montessori | Category: society | Era: 19세기 말 ~ 20세기 중반
286. 윌리엄 로이드 개리슨 (William Lloyd Garrison) | Slug: william-lloyd-garrison | Category: society | Era: 19세기
287. 알베르트 슈바이처 (Albert Schweitzer) | Slug: albert-schweitzer | Category: society | Era: 19세기 후반 ~ 20세기 중반
288. 판디타 라마바이 (Pandita Ramabai) | Slug: pandita-ramabai | Category: society | Era: 19세기
289. 엘리자베스 블랙웰 (Elizabeth Blackwell) | Slug: elizabeth-blackwell | Category: society | Era: 19세기
290. 플로렌스 켈리 (Florence Kelley) | Slug: florence-kelley | Category: society | Era: 19세기 후반 - 20세기 초반
291. 데이비드 리빙스턴 (David Livingstone) | Slug: david-livingstone | Category: business | Era: 19세기
292. 알프레드 노벨 (Alfred Nobel) | Slug: alfred-nobel | Category: business | Era: 19세기
293. 피에르 드 쿠베르탱 (Pierre de Coubertin) | Slug: pierre-de-coubertin | Category: business | Era: 19세기 말 - 20세기 초
294. 프리드쇼프 난센 (Fridtjof Nansen) | Slug: fridtjof-nansen | Category: business | Era: 19세기 말 ~ 20세기 초
295. 조지 이스트먼 (George Eastman) | Slug: george-eastman | Category: business | Era: 19세기 후반 ~ 20세기 초반
296. 엘리샤 오티스 (Elisha Otis) | Slug: elisha-otis | Category: business | Era: 19세기
297. 장영실 (Jang Yeong-sil) | Slug: jang-yeong-sil | Category: science | Era: 조선 시대
298. 윤동주 (Yun Dong-ju) | Slug: yun-dong-ju | Category: arts | Era: 일제강점기
299. 소포클레스 (Sophocles) | Slug: sophocles | Category: arts | Era: 기원전 5세기
300. 유클리드 (Euclid) | Slug: euclid | Category: science | Era: 기원전 4세기 ~ 3세기
301. 궁궁하나 (Gungunhana) | Slug: gungunhana | Category: leadership | Era: 19세기 후반
302. 나나 아스마우 (Nana Asma'u) | Slug: nana-asmau | Category: society | Era: 19세기
303. 네페르티티 (Nefertiti) | Slug: nefertiti | Category: leadership | Era: 이집트 신왕국 시대
304. 디도 (Dido) | Slug: dido | Category: leadership | Era: 고대 카르타고 (기원전 8세기경)
305. 라나발로나 1세 (Ranavalona I) | Slug: ranavalona-i | Category: leadership | Era: 19세기
306. 랄리벨라 (Gebre Mesqel Lalibela) | Slug: gebre-mesqel-lalibela | Category: leadership | Era: 12-13세기
307. 레오 아프리카누스 (Leo Africanus) | Slug: leo-africanus | Category: business | Era: 16세기 르네상스
308. 로벵굴라 (Lobengula) | Slug: lobengula | Category: leadership | Era: 19세기
309. 메넬리크 2세 (Menelik II) | Slug: menelik-ii | Category: leadership | Era: 19세기 후반 ~ 20세기 초반
310. 모슈에슈에 1세 (Moshoeshoe I) | Slug: moshoeshoe-i | Category: leadership | Era: 19세기
311. 무함마드 아흐마드 (Muhammad Ahmad) | Slug: muhammad-ahmad | Category: leadership | Era: 19세기
312. 베한진 (Behanzin) | Slug: behanzin | Category: leadership | Era: 19세기
313. 사드 자글룰 (Saad Zaghloul) | Slug: saad-zaghloul | Category: leadership | Era: 20세기 초
314. 사모리 투레 (Samori Toure) | Slug: samori-toure | Category: leadership | Era: 19세기
315. 사무엘 아자이 크라우더 (Samuel Ajayi Crowther) | Slug: samuel-ajayi-crowther | Category: society | Era: 19세기
316. 사이드 모하메드 압둘라 하산 (Sayyid Mohammed Abdullah Hassan) | Slug: sayyid-mohammed-abdullah-hassan | Category: leadership | Era: 19세기 말 - 20세기 초
317. 손니 알리 (Sonni Ali) | Slug: sonni-ali | Category: leadership | Era: 15세기
318. 솔 플라키 (Sol Plaatje) | Slug: sol-plaatje | Category: society | Era: 19세기 후반 - 20세기 초반
319. 수세뇨스 1세 (Susenyos I) | Slug: susenyos-i | Category: leadership | Era: 17세기
320. 아마니레나스 (Amanirenas) | Slug: amanirenas | Category: leadership | Era: 기원전 1세기
321. 아마두 밤바 (Ahmadu Bamba) | Slug: ahmadu-bamba | Category: society | Era: 19세기 후반 - 20세기 초반
322. 아케나텐 (Akhenaten) | Slug: akhenaten | Category: leadership | Era: 이집트 신왕국 제18왕조
323. 아흐메드 바바 알-마수피 (Ahmad Baba al-Massufi) | Slug: ahmad-baba-al-massufi | Category: philosophy | Era: 16-17세기 송가이 제국
324. 악숨의 에자나 (Ezana of Axum) | Slug: ezana-of-axum | Category: leadership | Era: 4세기
325. 안톤 빌헬름 아모 (Anton Wilhelm Amo) | Slug: anton-wilhelm-amo | Category: philosophy | Era: 18세기
326. 알렉산드리아의 아타나시우스 (Athanasius of Alexandria) | Slug: athanasius-of-alexandria | Category: leadership | Era: 4세기 로마 제국
327. 알렉산드리아의 키릴로스 (Cyril of Alexandria) | Slug: cyril-of-alexandria | Category: leadership | Era: 5세기 로마 제국
328. 암다 세욘 1세 (Amda Seyon I) | Slug: amda-seyon-i | Category: leadership | Era: 14세기
329. 압드 알라흐만 알자바르티 (Abd al-Rahman al-Jabarti) | Slug: abd-al-rahman-al-jabarti | Category: society | Era: 18세기 후반 - 19세기 초반
330. 압드 알무민 (Abd al-Mu'min) | Slug: abd-al-mumin | Category: leadership | Era: 12세기
331. 압드 알카디르 알자자이리 (Abdelkader El Djezairi) | Slug: abdelkader-el-djezairi | Category: leadership | Era: 19세기
332. 앨버트 루툴리 (Albert Luthuli) | Slug: albert-luthuli | Category: leadership | Era: 20세기
333. 야 아산테와 (Yaa Asantewaa) | Slug: yaa-asantewaa | Category: leadership | Era: 19세기 후반 - 20세기 초반
334. 오리게네스 (Origen of Alexandria) | Slug: origen-of-alexandria | Category: philosophy | Era: 3세기 로마 제국
335. 오세이 투투 1세 (Osei Tutu I) | Slug: osei-tutu-i | Category: leadership | Era: 17세기 후반 - 18세기 초반
336. 올라우다 에퀴아노 (Olaudah Equiano) | Slug: olaudah-equiano | Category: society | Era: 18세기
337. 요하네스 4세 (Yohannes IV) | Slug: yohannes-iv | Category: leadership | Era: 19세기
338. 우스만 단 포디오 (Usman dan Fodio) | Slug: usman-dan-fodio | Category: leadership | Era: 18세기 후반 - 19세기 초반
339. 은징가 음반데 (Nzinga of Ndongo and Matamba) | Slug: nzinga-of-ndongo-and-matamba | Category: leadership | Era: 17세기
340. 이드리스 알루마 (Idris Alooma) | Slug: idris-alooma | Category: leadership | Era: 16세기 후반 - 17세기 초반
341. 이모텝 (Imhotep) | Slug: imhotep | Category: science | Era: 이집트 고왕국 시대 (기원전 27세기)
342. 이븐 투마르트 (Ibn Tumart) | Slug: ibn-tumart | Category: leadership | Era: 12세기
343. 자자우의 아미나 (Amina of Zazzau) | Slug: amina-of-zazzau | Category: leadership | Era: 16세기 후반
344. 제라 야콥 (Zera Yacob) | Slug: zera-yacob | Category: philosophy | Era: 17세기
345. 존 칠렘브웨 (John Chilembwe) | Slug: john-chilembwe | Category: leadership | Era: 20세기 초
346. 케취와요 캄판데 (Cetshwayo kaMpande) | Slug: cetshwayo-kampande | Category: leadership | Era: 19세기
347. 쿠푸 (Khufu) | Slug: khufu | Category: leadership | Era: 고대 이집트 제4왕조
348. 클레오파트라 7세 (Cleopatra VII) | Slug: cleopatra-vii | Category: leadership | Era: 프톨레마이오스 시대
349. 킴파 비타 (Kimpa Vita) | Slug: kimpa-vita | Category: leadership | Era: 17세기 후반 - 18세기 초반
350. 타리크 이븐 지야드 (Tariq ibn Ziyad) | Slug: tariq-ibn-ziyad | Category: leadership | Era: 8세기 초
351. 타이투 베툴 (Taytu Betul) | Slug: taytu-betul | Category: leadership | Era: 19세기 후반 - 20세기 초반
352. 타파와 발레와 (Abubakar Tafawa Balewa) | Slug: abubakar-tafawa-balewa | Category: leadership | Era: 20세기
353. 타하르카 (Taharqa) | Slug: taharqa | Category: leadership | Era: 기원전 7세기
354. 테르툴리아누스 (Tertullian) | Slug: tertullian | Category: philosophy | Era: 로마 제국 시대
355. 테오드로스 2세 (Tewodros II) | Slug: tewodros-ii | Category: leadership | Era: 19세기
356. 투탕카멘 (Tutankhamun) | Slug: tutankhamun | Category: leadership | Era: 이집트 신왕국 시대
357. 프렘페 1세 (Prempeh I) | Slug: prempeh-i | Category: leadership | Era: 19세기 말 - 20세기 초
358. 피이 (Piye) | Slug: piye | Category: leadership | Era: 고대 이집트 제3중간기
359. 허버트 매콜리 (Herbert Macaulay) | Slug: herbert-macaulay | Category: leadership | Era: 19세기 후반 - 20세기 중반
360. 헨드릭 비트부이 (Hendrik Witbooi) | Slug: hendrik-witbooi | Category: leadership | Era: 19세기 후반 - 20세기 초반
361. 후다 샤라위 (Huda Sha'arawi) | Slug: huda-shaarawi | Category: leadership | Era: 20세기 초반
362. 히포의 아우구스티누스 (Augustine of Hippo) | Slug: augustine-of-hippo | Category: philosophy | Era: 로마 제국 후기
363. J. E. 케이슬리 헤이퍼드 (J. E. Casely Hayford) | Slug: j-e-casely-hayford | Category: leadership | Era: 19세기 말 - 20세기 초
364. 프란츠 파농 (Frantz Fanon) | Slug: frantz-fanon | Category: philosophy | Era: 20세기
365. W. E. B. 듀보이스 (W. E. B. Du Bois) | Slug: w-e-b-du-bois | Category: society | Era: 19세기 후반 - 20세기 중반
366. 게오르기오스 게미스토스 플레톤 (George Gemistos Plethon) | Slug: george-gemistos-plethon | Category: philosophy | Era: 15세기 비잔티움 제국
367. 니콜라이 고골 (Nikolai Gogol) | Slug: nikolai-gogol | Category: arts | Era: 19세기
368. 니콜라이 무라비요프아무르스키 (Nikolay Muravyov-Amursky) | Slug: nikolay-muravyov-amursky | Category: leadership | Era: 19세기
369. 니콜라이 바빌로프 (Nikolai Vavilov) | Slug: nikolai-vavilov | Category: science | Era: 19세기 말 - 20세기 초
370. 니콜라이 프르제발스키 (Nikolai Przhevalsky) | Slug: nikolai-przhevalsky | Category: science | Era: 19세기
371. 다닐로 할리츠키 (Danylo Halytskyi) | Slug: danylo-halytskyi | Category: leadership | Era: 13세기
372. 다비트 4세 (David IV of Georgia) | Slug: david-iv-of-georgia | Category: leadership | Era: 11-12세기
373. 라반 바르 사우마 (Rabban Bar Sauma) | Slug: rabban-bar-sauma | Category: leadership | Era: 13세기
374. 레샤 우크라인카 (Lesya Ukrainka) | Slug: lesya-ukrainka | Category: arts | Era: 19세기 말 - 20세기 초
375. 루다키 (Rudaki) | Slug: rudaki | Category: arts | Era: 10세기 사만 왕조
376. 마흐무드 알카슈가리 (Mahmud al-Kashgari) | Slug: mahmud-al-kashgari | Category: society | Era: 11세기
377. 미카엘 프셀로스 (Michael Psellos) | Slug: michael-psellos | Category: philosophy | Era: 11세기 비잔티움 제국
378. 미하일 로모노소프 (Mikhail Lomonosov) | Slug: mikhail-lomonosov | Category: science | Era: 18세기
379. 미하일로 드라호마노우 (Mykhailo Drahomanov) | Slug: mykhailo-drahomanov | Category: philosophy | Era: 19세기
380. 미하일로 흐루셰우스키 (Mykhailo Hrushevsky) | Slug: mykhailo-hrushevsky | Category: leadership | Era: 19세기 말 - 20세기 초
381. 바부르 (Babur) | Slug: babur | Category: leadership | Era: 15-16세기
382. 바실리오스 2세 (Basil II) | Slug: basil-ii | Category: leadership | Era: 10세기 후반 - 11세기 초반
383. 법현 (Faxian) | Slug: faxian | Category: society | Era: 4-5세기 동진
384. 벨리사리우스 (Belisarius) | Slug: belisarius | Category: leadership | Era: 6세기
385. 보흐단 흐멜니츠키 (Bohdan Khmelnytsky) | Slug: bohdan-khmelnytsky | Category: leadership | Era: 17세기
386. 부민 카간 (Bumin Qaghan) | Slug: bumin-qaghan | Category: leadership | Era: 6세기
387. 블라디미르 1세 (Vladimir the Great) | Slug: vladimir-the-great | Category: leadership | Era: 10세기 후반 - 11세기 초반
388. 블라디미르 베르나츠키 (Vladimir Vernadsky) | Slug: vladimir-vernadsky | Category: science | Era: 19-20세기
389. 세르게이 코롤료프 (Sergei Korolev) | Slug: sergei-korolev | Category: science | Era: 20세기 우주 경쟁 시대
390. 세묜 데즈뇨프 (Semyon Dezhnev) | Slug: semyon-dezhnev | Category: leadership | Era: 17세기
391. 쇼타 루스타벨리 (Shota Rustaveli) | Slug: shota-rustaveli | Category: arts | Era: 12세기 조지아 황금시대
392. 수학자 레오 (Leo the Mathematician) | Slug: leo-the-mathematician | Category: science | Era: 9세기 비잔티움 제국
393. 아바이 쿠난바울르 (Abai Qunanbaiuly) | Slug: abai-qunanbaiuly | Category: arts | Era: 19세기
394. 아바쿰 (Avvakum) | Slug: avvakum | Category: leadership | Era: 17세기
395. 아틸라 (Attila the Hun) | Slug: attila-the-hun | Category: leadership | Era: 5세기
396. 아흐마드 야사위 (Ahmad Yasawi) | Slug: ahmad-yasawi | Category: philosophy | Era: 12세기
397. 안나 콤네네 (Anna Komnene) | Slug: anna-komnene | Category: arts | Era: 11-12세기 비잔티움 제국
398. 안드레이 루블료프 (Andrei Rublev) | Slug: andrei-rublev | Category: arts | Era: 14-15세기
399. 알렉산드르 넵스키 (Alexander Nevsky) | Slug: alexander-nevsky | Category: leadership | Era: 13세기
400. 알렉산드르 푸시킨 (Alexander Pushkin) | Slug: alexander-pushkin | Category: arts | Era: 19세기
401. 알렉시오스 1세 콤네노스 (Alexios I Komnenos) | Slug: alexios-i-komnenos | Category: leadership | Era: 11-12세기
402. 알리셰르 나보이 (Alisher Navoi) | Slug: alisher-navoi | Category: arts | Era: 티무르 제국, 15세기
403. 알부카리 (Muhammad al-Bukhari) | Slug: muhammad-al-bukhari | Category: society | Era: 9세기 / 아바스 왕조
404. 알파르가니 (Al-Farghani) | Slug: al-farghani | Category: science | Era: 9세기
405. 야로슬라프 1세 (Yaroslav the Wise) | Slug: yaroslav-the-wise | Category: leadership | Era: 11세기
406. 예르마크 티모페예비치 (Yermak Timofeyevich) | Slug: yermak-timofeyevich | Category: leadership | Era: 16세기
407. 요한 크리소스토모 (John Chrysostom) | Slug: john-chrysostom | Category: leadership | Era: 4세기 후반 로마 제국
408. 울루그 베그 (Ulugh Beg) | Slug: ulugh-beg | Category: science | Era: 15세기 티무르 제국
409. 유스티니아누스 1세 (Justinian I) | Slug: justinian-i | Category: leadership | Era: 6세기
410. 이반 3세 (Ivan III (the Great)) | Slug: ivan-iii-the-great | Category: leadership | Era: 15세기
411. 이반 4세 (Ivan IV (the Terrible)) | Slug: ivan-iv-the-terrible | Category: leadership | Era: 16세기
412. 이반 마제파 (Ivan Mazepa) | Slug: ivan-mazepa | Category: leadership | Era: 17-18세기
413. 이반 프랑코 (Ivan Franko) | Slug: ivan-franko | Category: arts | Era: 19세기 후반 - 20세기 초
414. 이스마일 가스프린스키 (Ismail Gasprinsky) | Slug: ismail-gasprinsky | Category: society | Era: 19세기 말 - 20세기 초
415. 잠시드 알카시 (Jamshid al-Kashi) | Slug: jamshid-al-kashi | Category: science | Era: 15세기 티무르 제국
416. 초칸 발리하노프 (Shoqan Walikhanov) | Slug: shoqan-walikhanov | Category: society | Era: 19세기
417. 카시아 (Kassia) | Slug: kassia | Category: arts | Era: 9세기 비잔틴 제국
418. 콘스탄티노스 11세 팔라이올로고스 (Constantine XI Palaiologos) | Slug: constantine-xi-palaiologos | Category: leadership | Era: 15세기 중반
419. 쿠빌라이 칸 (Kublai Khan) | Slug: kublai-khan | Category: leadership | Era: 13세기
420. 키예프의 안나 (Anne of Kyiv) | Slug: anne-of-kyiv | Category: leadership | Era: 11세기
421. 키예프의 올가 (Olga of Kyiv) | Slug: olga-of-kyiv | Category: leadership | Era: 10세기
422. 타라스 셰브첸코 (Taras Shevchenko) | Slug: taras-shevchenko | Category: arts | Era: 19세기
423. 타마르 (Tamar of Georgia) | Slug: tamar-of-georgia | Category: leadership | Era: 12-13세기
424. 테오도라 (Theodora) | Slug: theodora | Category: leadership | Era: 6세기 비잔티움 제국
425. 테오파네스 (Theophanes the Greek) | Slug: theophanes-the-greek | Category: arts | Era: 14세기 후반 - 15세기 초반
426. 토뉴쿠크 (Tonyukuk) | Slug: tonyukuk | Category: leadership | Era: 7-8세기
427. 티무르 (Timur (Tamerlane)) | Slug: timur-tamerlane | Category: leadership | Era: 14세기
428. 페트로 모힐라 (Petro Mohyla) | Slug: petro-mohyla | Category: leadership | Era: 17세기
429. 표트르 차이콥스키 (Pyotr Ilyich Tchaikovsky) | Slug: pyotr-ilyich-tchaikovsky | Category: arts | Era: 19세기
430. 프로코피우스 (Procopius) | Slug: procopius | Category: society | Era: 6세기 동로마 제국
431. 헤라클리우스 (Heraclius) | Slug: heraclius | Category: leadership | Era: 7세기
432. 현장 (Xuanzang) | Slug: xuanzang | Category: philosophy | Era: 7세기 당나라
433. 흐리호리 스코보로다 (Hryhorii Skovoroda) | Slug: hryhorii-skovoroda | Category: philosophy | Era: 18세기
434. 거트루드 벨 (Gertrude Bell) | Slug: gertrude-bell | Category: leadership | Era: 19세기 말 - 20세기 초
435. 나디르 샤 (Nader Shah) | Slug: nader-shah | Category: leadership | Era: 18세기
436. 나므크 케말 (Namık Kemal) | Slug: namik-kemal | Category: leadership | Era: 19세기 오스만 제국
437. 나시르 알딘 알투시 (Nasir al-Din al-Tusi) | Slug: nasir-al-din-al-tusi | Category: science | Era: 13세기
438. 네부카드네자르 2세 (Nebuchadnezzar II) | Slug: nebuchadnezzar-ii | Category: leadership | Era: 기원전 7세기-6세기
439. 니잠 알물크 (Nizam al-Mulk) | Slug: nizam-al-mulk | Category: leadership | Era: 11세기
440. 다리우스 1세 (Darius I) | Slug: darius-i | Category: leadership | Era: 기원전 6-5세기
441. 라시드 리다 (Rashid Rida) | Slug: rashid-rida | Category: philosophy | Era: 19세기 말 - 20세기 초
442. 레자 샤 팔라비 (Reza Shah) | Slug: reza-shah | Category: leadership | Era: 20세기 초
443. 마니 (Mani) | Slug: mani | Category: philosophy | Era: 3세기 사산 제국
444. 마흐무트 2세 (Mahmud II) | Slug: mahmud-ii | Category: leadership | Era: 19세기
445. 메흐메트 2세 (Mehmed the Conqueror) | Slug: mehmed-the-conqueror | Category: leadership | Era: 15세기
446. 무스타파 케말 아타튀르크 (Mustafa Kemal Atatürk) | Slug: mustafa-kemal-ataturk | Category: leadership | Era: 20세기 초
447. 무함마드 알리 파샤 (Muhammad Ali of Egypt) | Slug: muhammad-ali-of-egypt | Category: leadership | Era: 19세기
448. 무함마드 압두 (Muhammad Abduh) | Slug: muhammad-abduh | Category: philosophy | Era: 19세기 후반 - 20세기 초반
449. 미마르 시난 (Mimar Sinan) | Slug: mimar-sinan | Category: arts | Era: 16세기 오스만 제국
450. 바디 알자만 알하마다니 (Badi' al-Zaman al-Hamadani) | Slug: badi-al-zaman-al-hamadani | Category: arts | Era: 10-11세기 / 이슬람 황금기
451. 바디우자만 사이드 누르시 (Bediüzzaman Said Nursi) | Slug: bediuzzaman-said-nursi | Category: philosophy | Era: 20세기 초
452. 바이바르스 (Baybars) | Slug: baybars | Category: leadership | Era: 13세기
453. 사디 시라지 (Saadi Shirazi) | Slug: saadi-shirazi | Category: arts | Era: 13세기
454. 사르곤 (Sargon of Akkad) | Slug: sargon-of-akkad | Category: leadership | Era: 기원전 24세기
455. 샤푸르 1세 (Shapur I) | Slug: shapur-i | Category: leadership | Era: 3세기 사산 제국
456. 셀림 3세 (Selim III) | Slug: selim-iii | Category: leadership | Era: 18세기 말 - 19세기 초
457. 아바스 1세 (Abbas I of Persia) | Slug: abbas-i-of-persia | Category: leadership | Era: 16-17세기
458. 아슈르바니팔 (Ashurbanipal) | Slug: ashurbanipal | Category: leadership | Era: 기원전 7세기
459. 아흐메드 샤키 (Ahmed Shawqi) | Slug: ahmed-shawqi | Category: arts | Era: 19세기 말 - 20세기 초
460. 아흐메드 제브데트 파샤 (Ahmed Cevdet Pasha) | Slug: ahmed-cevdet-pasha | Category: leadership | Era: 19세기 오스만 제국
461. 알라지 (Rhazes (Al-Razi)) | Slug: rhazes-al-razi | Category: science | Era: 이슬람 황금시대 (9-10세기)
462. 알마문 (Al-Ma'mun) | Slug: al-mamun | Category: leadership | Era: 9세기 초
463. 알마수디 (Al-Masudi) | Slug: al-masudi | Category: science | Era: 10세기 이슬람 황금 시대
464. 알바타니 (Al-Battani) | Slug: al-battani | Category: science | Era: 9-10세기 이슬람 황금시대
465. 알자히즈 (Al-Jahiz) | Slug: al-jahiz | Category: science | Era: 9세기 압바스 왕조
466. 알킨디 (Al-Kindi) | Slug: al-kindi | Category: philosophy | Era: 9세기 아바스 왕조
467. 알타바리 (Al-Tabari) | Slug: al-tabari | Category: society | Era: 9-10세기, 이슬람 황금 시대
468. 알프 아르슬란 (Alp Arslan) | Slug: alp-arslan | Category: leadership | Era: 11세기
469. 에블리야 첼레비 (Evliya Çelebi) | Slug: evliya-celebi | Category: society | Era: 17세기 오스만 제국
470. 이브라힘 뮈테페리카 (Ibrahim Muteferrika) | Slug: ibrahim-muteferrika | Category: society | Era: 18세기 오스만 제국
471. 이브라힘 파샤 (Ibrahim Pasha of Egypt) | Slug: ibrahim-pasha-of-egypt | Category: leadership | Era: 19세기
472. 이븐 루시드 (Averroes (Ibn Rushd)) | Slug: averroes-ibn-rushd | Category: philosophy | Era: 12세기 알안달루스
473. 이븐 시나 (Avicenna (Ibn Sina)) | Slug: avicenna-ibn-sina | Category: science | Era: 이슬람 황금시대 (10-11세기)
474. 이븐 아라비 (Ibn Arabi) | Slug: ibn-arabi | Category: philosophy | Era: 12-13세기
475. 이스마일 1세 (Ismail I) | Slug: ismail-i | Category: leadership | Era: 15-16세기
476. 자라투스트라 (Zarathushtra) | Slug: zarathushtra | Category: philosophy | Era: 고대 이란 (기원전 1000년경)
477. 자말 알딘 알아프가니 (Jamal al-Din al-Afghani) | Slug: jamal-al-din-al-afghani | Category: leadership | Era: 19세기 후반
478. 자비르 이븐 하이얀 (Jabir ibn Hayyan) | Slug: jabir-ibn-hayyan | Category: science | Era: 이슬람 황금기 (8-9세기)
479. 지야 괴칼프 (Ziya Gökalp) | Slug: ziya-gokalp | Category: society | Era: 20세기 초
480. 카림 칸 잔드 (Karim Khan Zand) | Slug: karim-khan-zand | Category: leadership | Era: 18세기
481. 카팁 첼레비 (Katip Çelebi) | Slug: katip-celebi | Category: science | Era: 17세기 오스만 제국
482. 크세르크세스 1세 (Xerxes I) | Slug: xerxes-i | Category: leadership | Era: 아케메네스 제국 시대
483. 타비트 이븐 쿠라 (Thabit ibn Qurra) | Slug: thabit-ibn-qurra | Category: science | Era: 9세기 이슬람 황금시대
484. 타히리 (Tahirih) | Slug: tahirih | Category: society | Era: 19세기
485. 푸줄리 (Fuzûlî) | Slug: fuzuli | Category: arts | Era: 16세기 오스만 제국
486. 피르다우시 (Ferdowsi) | Slug: ferdowsi | Category: arts | Era: 10-11세기
487. 피리 레이스 (Piri Reis) | Slug: piri-reis | Category: science | Era: 16세기 오스만 제국
488. 하룬 알라시드 (Harun al-Rashid) | Slug: harun-al-rashid | Category: leadership | Era: 8-9세기
489. 하페즈 (Hafez) | Slug: hafez | Category: arts | Era: 14세기
490. 할리데 에디프 아드바르 (Halide Edib Adıvar) | Slug: halide-edib-adivar | Category: leadership | Era: 20세기 초, 오스만 제국 말기 및 터키 공화국 초기
491. 함무라비 (Hammurabi) | Slug: hammurabi | Category: leadership | Era: 고대 바빌로니아 (기원전 18세기)
492. 휘렘 술탄 (Hurrem Sultan (Roxelana)) | Slug: hurrem-sultan-roxelana | Category: leadership | Era: 16세기 오스만 제국
493. T. E. 로렌스 (T. E. Lawrence) | Slug: t-e-lawrence | Category: leadership | Era: 20세기 초
