slug,name_ko,name_en,birth_year,death_year,is_living,era,region,category,wikidata_qid,wikiSlug,epic_ko_length
"john-dalton","john-dalton","john-dalton","1766","1844","false","19세기의 거인 (1766~1844)","유럽","science","","","2631"
"john-dewey","john-dewey","john-dewey","1859","1952","true","20세기의 거인 (1859~1952)","동아시아","philosophy","","","2494"
"john-maynard-keynes","john-maynard-keynes","john-maynard-keynes","1883","1946","false","20세기의 거인 (1883~1946)","남아시아","business","","","2871"
"john-steinbeck","john-steinbeck","john-steinbeck","1902","1968","false","20세기의 거인 (1902~1968)","중남미","arts","","","2478"
"john-tyler","john-tyler","john-tyler","1790","1862","false","19세기의 거인 (1790~1862)","중남미","leadership","","","2428"
"jomo-kenyatta","jomo-kenyatta","jomo-kenyatta","1897","1978","false","20세기의 거인 (1897~1978)","서/남아프리카","leadership","","","2745"
"jonas-salk","jonas-salk","jonas-salk","1914","1995","false","20세기의 거인 (1914~1995)","유럽","science","","","2673"
"jorge-luis-borges","jorge-luis-borges","jorge-luis-borges","1899","1986","false","20세기의 거인 (1899~1986)","유럽","arts","","","2576"
"jose-de-san-martin","jose-de-san-martin","jose-de-san-martin","1778","1850","true","19세기의 거인 (1778~1850)","서/남아프리카","leadership","","","2537"
"jose-marti","jose-marti","jose-marti","1853","1895","false","19세기의 거인 (1853~1895)","중남미","society","","","2965"
"joseph-lister","joseph-lister","joseph-lister","1827","1912","false","19세기의 거인 (1827~1912)","유럽","science","","","2655"
"joseph-louis-lagrange","joseph-louis-lagrange","joseph-louis-lagrange","1736","1813","false","18세기의 거인 (1736~1813)","유럽","science","","","2486"
"joseph-stalin","joseph-stalin","joseph-stalin","1878","1953","false","20세기의 거인 (1878~1953)","유럽","leadership","","","2613"
"julia-ward-howe","julia-ward-howe","julia-ward-howe","1819","1910","false","19세기의 거인 (1819~1910)","북미","society","","","2878"
"julian-emperor","julian-emperor","julian-emperor","331","363","true","4세기의 거인 (331~363)","중동/북아프리카","leadership","","","2561"
"julius-nyerere","julius-nyerere","julius-nyerere","1922","1999","false","20세기의 거인 (1922~1999)","서/남아프리카","leadership","","","2903"
"kahlil-gibran","kahlil-gibran","kahlil-gibran","1883","1931","false","19세기의 거인 (1883~1931)","남아시아","arts","","","2512"
"kalidasa","kalidasa","kalidasa","","","false","4세기의 거인 (4세기경~5세기경)","남아시아","arts","","","2358"
"kang-kamch-an","kang-kamch-an","kang-kamch-an","948","1031","false","11세기의 거인 (948~1031)","동아시아","leadership","","","2443"
"kang-pan-sok","kang-pan-sok","kang-pan-sok","1892","1932","false","20세기의 거인 (1892~1932)","동아시아","society","","","2844"
"kangxi-emperor","kangxi-emperor","kangxi-emperor","1654","1722","false","17세기의 거인 (1654~1722)","동아시아","leadership","","","2454"
"karl-marx","카를 마르크스","karl-marx","1818","1883","false","19세기의 거인 (1818~1883)","유럽","philosophy","","","2563"
"karl-popper","카를 포퍼","karl-popper","1902","1994","false","20세기의 거인 (1902~1994)","유럽","philosophy","","","2394"
"katherine-johnson","katherine-johnson","katherine-johnson","1918","2020","false","20세기의 거인 (1918~2020)","유럽","science","","","2448"
"kazimir-malevich","kazimir-malevich","kazimir-malevich","1879","1935","false","20세기의 거인 (1879~1935)","유럽","arts","","","2503"
"kim-chonghui","kim-chonghui","kim-chonghui","1786","1856","false","19세기의 거인 (1786~1856)","동아시아","arts","","","2882"
"kim-sowol","kim-sowol","kim-sowol","1902","1934","false","20세기의 거인 (1902~1934)","동아시아","arts","","","2347"
"kim-yu-sin","kim-yu-sin","kim-yu-sin","595","673","false","7세기의 거인 (595~673)","동아시아","leadership","","","2731"
"kobo-abe","kobo-abe","kobo-abe","1924","1993","true","20세기의 거인 (1924~1993)","동아시아","arts","","","2453"
"kofi-annan","kofi-annan","kofi-annan","1938","2018","false","20세기의 거인 (1938~2018)","중동/북아프리카","leadership","","","2981"
"kwame-nkrumah","콰메 은크루마","kwame-nkrumah","1909","1972","true","20세기의 거인 (1909~1972)","동아시아","leadership","","","2575"
"kyon-hwon","견훤","kyon-hwon","867","936","false","9세기의 거인 (867~936)","동아시아","leadership","","","2584"
"laura-bassi","laura-bassi","laura-bassi","1711","1778","false","18세기의 거인 (1711~1778)","유럽","science","","","2259"
"lazzaro-spallanzani","lazzaro-spallanzani","lazzaro-spallanzani","1729","1799","false","18세기의 거인 (1729~1799)","유럽","science","","","2182"
"le-corbusier","le-corbusier","le-corbusier","1887","1965","false","20세기의 거인 (1887~1965)","남아시아","arts","","","2721"
"lee-kuan-yew","리콴유","lee-kuan-yew","1923","2015","true","20세기의 거인 (1923~2015)","동아시아","leadership","","","2468"
"leon-trotsky","leon-trotsky","leon-trotsky","1879","1940","false","20세기의 거인 (1879~1940)","중남미","society","","","2848"
"leona-vicario","레오나 비카리오","leona-vicario","1789","1842","false","19세기의 거인 (1789~1842)","중남미","leadership","","","2409"
"leonhard-euler","leonhard-euler","leonhard-euler","1707","1783","false","18세기의 거인 (1707~1783)","유럽","science","","","2429"
"lin-zexu","임칙서","lin-zexu","1785","1850","false","19세기의 거인 (1785~1850)","동아시아","leadership","","","2544"
"linus-pauling","linus-pauling","linus-pauling","1901","1994","false","20세기의 거인 (1901~1994)","유럽","science","","","2569"
"lord-kelvin","lord-kelvin","lord-kelvin","1824","1907","false","19세기의 거인 (1824~1907)","유럽","science","","","2443"
"louis-de-broglie","louis-de-broglie","louis-de-broglie","1892","1987","false","20세기의 거인 (1892~1987)","유럽","science","","","2652"
"louis-kahn","louis-kahn","louis-kahn","1901","1974","false","20세기의 거인 (1901~1974)","남아시아","arts","","","2829"
"louis-xiv","louis-xiv","louis-xiv","1638","1715","false","17세기의 거인 (1638~1715)","남아시아","leadership","","","2446"
"louis-xvi","louis-xvi","louis-xvi","1754","1793","false","18세기의 거인 (1754~1793)","유럽","leadership","","","2814"
"louisa-may-alcott","louisa-may-alcott","louisa-may-alcott","1832","1888","true","19세기의 거인 (1832~1888)","북미","arts","","","2549"
"lu-xun","lu-xun","lu-xun","1881","1936","false","20세기의 거인 (1881~1936)","동아시아","arts","","","2981"
"lu-yu","lu-yu","lu-yu","733","804","false","8세기의 거인 (733~804)","아시아 (중국)","arts","","","2564"
"lucius-tarquinius-superbus","lucius-tarquinius-superbus","lucius-tarquinius-superbus","","","false","기원전 6세기의 거인 (기원전 535~기원전 495)","유럽","leadership","","","2440"
"lucy-stone","lucy-stone","lucy-stone","1818","1893","false","19세기의 거인 (1818~1893)","북미","society","","","2813"
"ludwig-boltzmann","ludwig-boltzmann","ludwig-boltzmann","1844","1906","false","19세기의 거인 (1844~1906)","유럽","science","","","2605"
"ludwig-mies-van-der-rohe","ludwig-mies-van-der-rohe","ludwig-mies-van-der-rohe","1886","1969","false","20세기의 거인 (1886~1969)","유럽","arts","","","2892"
"ludwig-wittgenstein","루트비히 비트겐슈타인","ludwig-wittgenstein","1889","1951","false","20세기의 거인 (1889~1951)","유럽","philosophy","","","2931"
"luigi-galvani","luigi-galvani","luigi-galvani","1737","1798","false","18세기의 거인 (1737~1798)","유럽","science","","","2270"
"machado-de-assis","machado-de-assis","machado-de-assis","1839","1908","false","19세기의 거인 (1839~1908)","중남미","arts","","","2552"
"mahatma-gandhi","mahatma-gandhi","mahatma-gandhi","19","20","false","19~20세기의 거인 (1869~1948)","남아시아","leadership","","","2141"
"malcolm-x","malcolm-x","malcolm-x","1925","1965","false","20세기의 거인 (1925~1965)","서/남아프리카","society","","","2895"
"marcel-duchamp","marcel-duchamp","marcel-duchamp","1887","1968","false","20세기의 거인 (1887~1968)","유럽","arts","","","2442"
"marcel-proust","marcel-proust","marcel-proust","1871","1922","false","20세기의 거인 (1871~1922)","유럽","arts","","","2399"
"marcello-malpighi","marcello-malpighi","marcello-malpighi","1628","1694","false","17세기의 거인 (1628~1694)","유럽","science","","","2648"
"marcus-licinius-crassus","marcus-licinius-crassus","marcus-licinius-crassus","","","true","기원전 1세기의 거인 (115 BC~53 BC)","유럽","business","","","2922"
"margaret-thatcher","margaret-thatcher","margaret-thatcher","1925","2013","false","20세기의 거인 (1925~2013)","유럽","leadership","","","2719"
"maria-callas","maria-callas","maria-callas","1923","1977","false","20세기의 거인 (1923~1977)","유럽","arts","","","2412"
"maria-gaetana-agnesi","maria-gaetana-agnesi","maria-gaetana-agnesi","1718","1799","false","18세기의 거인 (1718~1799)","유럽","science","","","2788"
"maria-mitchell","maria-mitchell","maria-mitchell","1818","1889","false","19세기의 거인 (1818~1889)","유럽","science","","","2830"
"maria-sibylla-merian","maria-sibylla-merian","maria-sibylla-merian","1647","1717","false","17세기의 거인 (1647~1717)","서/남아프리카","science","","","2908"
"marie-anne-paulze-lavoisier","marie-anne-paulze-lavoisier","marie-anne-paulze-lavoisier","1758","1836","false","18세기의 거인 (1758~1836)","유럽","science","","","2603"
"marie-antoinette","marie-antoinette","marie-antoinette","1755","1793","false","18세기의 거인 (1755~1793)","유럽","society","","","2449"
"mario-vargas-llosa","mario-vargas-llosa","mario-vargas-llosa","1936","2025","true","20세기 거인 (1936~2025)","중남미","arts","","","2460"
"mark-antony","mark-antony","mark-antony","","","false","기원전 1세기의 거인 (기원전 83~기원전 30)","중동/북아프리카","leadership","","","2755"
"mark-rothko","mark-rothko","mark-rothko","1903","1970","false","20세기의 거인 (1903~1970)","유럽","arts","","","2521"
"martin-heidegger","마르틴 하이데거","martin-heidegger","1889","1976","false","20세기의 거인 (1889~1976)","유럽","philosophy","","","2554"
"martin-luther-king-jr","martin-luther-king-jr","martin-luther-king-jr","1929","1968","false","20세기의 거인 (1929~1968)","동남아시아","society","","","2571"
"martin-luther","마르틴 루터","martin-luther","1483","1546","false","16세기의 거인 (1483~1546)","유럽","philosophy","","","2199"
"martin-van-buren","martin-van-buren","martin-van-buren","1782","1862","false","19세기의 거인 (1782~1862)","유럽","leadership","","","2641"
"mary-anning","mary-anning","mary-anning","1799","1847","true","19세기의 거인 (1799~1847)","유럽","science","","","2489"
"mary-cassatt","mary-cassatt","mary-cassatt","1844","1926","false","19세기의 거인 (1844~1926)","동아시아","arts","","","2879"
"mary-church-terrell","mary-church-terrell","mary-church-terrell","1863","1954","false","19세기의 거인 (1863~1954)","유럽","society","","","2412"
"mary-jackson","mary-jackson","mary-jackson","1921","2005","false","20세기의 거인 (1921~2005)","서/남아프리카","science","","","2539"
"mary-mcleod-bethune","mary-mcleod-bethune","mary-mcleod-bethune","1875","1955","false","19세기의 거인 (1875~1955)","서/남아프리카","society","","","2621"
"mary-queen-of-scots","mary-queen-of-scots","mary-queen-of-scots","1542","1587","false","16세기의 거인 (1542~1587)","유럽","leadership","","","2624"
"mary-seacole","mary-seacole","mary-seacole","1805","1881","false","19세기의 거인 (1805~1881)","서/남아프리카","science","","","2453"
"mary-somerville","mary-somerville","mary-somerville","1780","1872","false","19세기의 거인 (1780~1872)","유럽","science","","","2512"
"maurice-ravel","maurice-ravel","maurice-ravel","1875","1937","false","20세기의 거인 (1875~1937)","남아시아","arts","","","2578"
"maurice-wilkins","maurice-wilkins","maurice-wilkins","1916","2004","false","20세기의 거인 (1916~2004)","유럽","science","","","2760"
"max-born","max-born","max-born","1882","1970","false","20세기의 거인 (1882~1970)","유럽","science","","","2727"
"maximilien-robespierre","maximilien-robespierre","maximilien-robespierre","1758","1794","true","18세기의 거인 (1758~1794)","유럽","leadership","","","2974"
"maya-angelou","maya-angelou","maya-angelou","1928","2014","true","20세기의 거인 (1928~2014)","중동/북아프리카","arts","","","2987"
"mehmed-ii","mehmed-ii","mehmed-ii","1432","1481","false","15세기의 거인 (1432~1481)","중동/북아프리카","leadership","","","2438"
"mikhail-gorbachev","mikhail-gorbachev","mikhail-gorbachev","1931","2022","true","20세기의 거인 (1931~2022)","동남아시아","leadership","","","2993"
"minamoto-no-yoshitsune","minamoto-no-yoshitsune","minamoto-no-yoshitsune","1159","1189","false","12세기의 거인 (1159~1189)","동아시아","leadership","","","2575"
"mirabai","mirabai","mirabai","1498","1547","false","16세기의 거인 (1498~1547)","남아시아","arts","","","2833"
"montesquieu","montesquieu","montesquieu","1689","1755","false","18세기의 거인 (1689~1755)","중동/북아프리카","philosophy","","","2539"
"mumtaz-mahal","mumtaz-mahal","mumtaz-mahal","1593","1631","false","17세기의 거인 (1593~1631)","남아시아","leadership","","","2435"
"na-hyesok","na-hyesok","na-hyesok","1896","1948","false","20세기의 거인 (1896~1948)","동아시아","arts","","","2707"
"nandi-mother-of-shaka","nandi-mother-of-shaka","nandi-mother-of-shaka","1760","1827","false","19세기의 거인 (1760~1827)","서/남아프리카","leadership","","","2349"
"natsume-soseki","natsume-soseki","natsume-soseki","1867","1916","true","20세기의 거인 (1867~1916)","동아시아","arts","","","2418"
"neil-armstrong","neil-armstrong","neil-armstrong","1930","2012","false","20세기의 거인 (1930~2012)","동아시아","science","","","2504"
"nellie-bly","nellie-bly","nellie-bly","1864","1922","false","19세기의 거인 (1864~1922)","동아시아","society","","","2522"
"nelson-mandela","nelson-mandela","nelson-mandela","1918","2013","false","20세기의 거인 (1918~2013)","서/남아프리카","leadership","","","2452"
"nero","nero","nero","37","68","false","1세기의 거인 (37~68)","유럽","leadership","","","2585"
"nerva","nerva","nerva","30","98","false","1세기의 거인 (30~98)","유럽","leadership","","","2636"
"nettie-stevens","nettie-stevens","nettie-stevens","1861","1912","false","20세기의 거인 (1861~1912)","북미","science","","","2412"
"niccolo-paganini","niccolo-paganini","niccolo-paganini","1782","1840","false","19세기의 거인 (1782~1840)","유럽","arts","","","2263"
"niels-bohr","niels-bohr","niels-bohr","1885","1962","true","20세기의 거인 (1885~1962)","유럽","science","","","2529"
"nur-jahan","nur-jahan","nur-jahan","1577","1645","false","17세기의 거인 (1577~1645)","남아시아","leadership","","","2790"
"octavio-paz","octavio-paz","octavio-paz","1914","1998","false","20세기의 거인 (1914~1998)","남아시아","arts","","","2246"
"oliver-cromwell","oliver-cromwell","oliver-cromwell","1599","1658","false","17세기의 거인 (1599~1658)","기타","leadership","","","2812"
"orson-welles","orson-welles","orson-welles","1915","1985","false","20세기의 거인 (1915~1985)","유럽","arts","","","2303"
"osamu-dazai","osamu-dazai","osamu-dazai","1909","1948","false","20세기의 거인 (1909~1948)","동아시아","arts","","","2326"
"oscar-niemeyer","oscar-niemeyer","oscar-niemeyer","1907","2012","false","20세기의 거인 (1907~2012)","서/남아프리카","arts","","","2314"
"ovid","ovid","ovid","","","true","1세기의 거인 (43 BC~17)","유럽","arts","","","2337"
"pablo-neruda","pablo-neruda","pablo-neruda","1904","1973","false","20세기의 거인 (1904~1973)","중남미","arts","","","2241"
"pablo-picasso","pablo-picasso","pablo-picasso","1881","1973","false","20세기의 거인 (1881~1973)","서/남아프리카","arts","","","2350"
"paracelsus","paracelsus","paracelsus","1493","1541","false","16세기의 거인 (1493~1541)","유럽","science","","","2871"
"park-eun-sik","park-eun-sik","park-eun-sik","1859","1925","false","20세기의 거인 (1859~1925)","동아시아","society","","","2401"
"patrice-lumumba","patrice-lumumba","patrice-lumumba","1925","1961","false","20세기의 거인 (1925~1961)","서/남아프리카","leadership","","","2810"
"paul-dirac","paul-dirac","paul-dirac","1902","1984","false","20세기의 거인 (1902~1984)","유럽","science","","","2950"
"paul-verlaine","paul-verlaine","paul-verlaine","1844","1896","false","19세기의 거인 (1844~1896)","유럽","arts","","","2702"
"pedro-ii-of-brazil","pedro-ii-of-brazil","pedro-ii-of-brazil","1825","1891","false","19세기의 거인 (1825~1891)","중남미","leadership","","","2742"
"percy-lavon-julian","percy-lavon-julian","percy-lavon-julian","1899","1965","false","20세기의 거인 (1899~1965)","서/남아프리카","science","","","2662"
"peter-paul-rubens","peter-paul-rubens","peter-paul-rubens","1577","1640","false","17세기의 거인 (1577~1640)","유럽","arts","","","2755"
"pierre-auguste-renoir","pierre-auguste-renoir","pierre-auguste-renoir","1841","1919","false","19세기의 거인 (1841~1919)","유럽","arts","","","2847"
"pierre-de-fermat","pierre-de-fermat","pierre-de-fermat","1607","1665","false","17세기의 거인 (1607~1665)","유럽","science","","","2737"
"piet-mondrian","piet-mondrian","piet-mondrian","1872","1944","false","20세기의 거인 (1872~1944)","유럽","arts","","","2773"
"pocahontas","pocahontas","pocahontas","1596","1617","false","17세기의 거인 (1596~1617)","유럽","society","","","2122"
"pol-pot","pol-pot","pol-pot","1925","1998","false","20세기의 거인 (1925~1998)","동아시아","leadership","","","2565"
"pompey","pompey","pompey","","","false","기원전 1세기의 거인 (기원전 106년~기원전 48년)","중동/북아프리카","leadership","","","2531"
"ptahhotep","ptahhotep","ptahhotep","","","true","기원전 25세기의 거인 (B.C. 2500경~미상)","중동/북아프리카","philosophy","","","2283"
"puyi","puyi","puyi","1906","1967","false","20세기의 거인 (1906~1967)","동아시아","leadership","","","2718"
"qianlong-emperor","qianlong-emperor","qianlong-emperor","1711","1799","false","18세기의 거인 (1711~1799)","동아시아","leadership","","","2466"
"qin-er-shi","qin-er-shi","qin-er-shi","","","false","기원전 3세기의 거인 (기원전 229년~기원전 207년)","동아시아","leadership","","","2392"
"rachel-carson","rachel-carson","rachel-carson","1907","1964","false","20세기의 거인 (1907~1964)","북미","science","","","2773"
"rain-queen","rain-queen","rain-queen","1800","1854","true","19세기의 거인 (1800~1854)","서/남아프리카","leadership","","","2460"
"rani-of-jhansi","rani-of-jhansi","rani-of-jhansi","1828","1858","false","19세기의 거인 (1828~1858)","남아시아","leadership","","","2420"
"rani-padmini","rani-padmini","rani-padmini","","","true","14세기의 거인 (?~1303)","남아시아","leadership","","","2480"
"raphael","raphael","raphael","1483","1520","false","16세기의 거인 (1483~1520)","중남미","arts","","","2803"
"rene-magritte","rene-magritte","rene-magritte","1898","1967","false","20세기의 거인 (1898~1967)","유럽","arts","","","2418"
"richard-feynman","richard-feynman","richard-feynman","1918","1988","false","20세기의 거인 (1918~1988)","북미","science","","","2429"
"richard-i-of-england","richard-i-of-england","richard-i-of-england","1157","1199","false","12세기의 거인 (1157~1199)","유럽","leadership","","","2431"
"richard-wagner","richard-wagner","richard-wagner","1813","1883","false","19세기의 거인 (1813~1883)","유럽","arts","","","2270"
"rita-levi-montalcini","rita-levi-montalcini","rita-levi-montalcini","1909","2012","true","20세기의 거인 (1909~2012)","서/남아프리카","science","","","2482"
"robert-boyle","robert-boyle","robert-boyle","1627","1691","false","17세기의 거인 (1627~1691)","유럽","science","","","2469"
"robert-falcon-scott","robert-falcon-scott","robert-falcon-scott","1868","1912","true","19세기의 거인 (1868~1912)","유럽","leadership","","","2285"
"robert-hooke","robert-hooke","robert-hooke","1635","1703","false","17세기의 거인 (1635~1703)","서/남아프리카","science","","","2458"
"robert-schumann","robert-schumann","robert-schumann","1810","1856","false","19세기의 거인 (1810~1856)","유럽","arts","","","2507"
"rosalind-franklin","rosalind-franklin","rosalind-franklin","1920","1958","false","20세기의 거인 (1920~1958)","유럽","science","","","2629"
"ryokan","ryokan","ryokan","1758","1831","true","19세기의 거인 (1758~1831)","동아시아","philosophy","","","2503"
"ryu-seong-ryong","ryu-seong-ryong","ryu-seong-ryong","1542","1607","false","16세기의 거인 (1542~1607)","동아시아","leadership","","","2592"
"ryunosuke-akutagawa","ryunosuke-akutagawa","ryunosuke-akutagawa","1892","1927","true","20세기의 거인 (1892~1927)","동아시아","arts","","","2870"
"sacagawea","sacagawea","sacagawea","1788","1812","true","19세기의 거인 (1788~1812)","유럽","society","","","2089"
"sadi-carnot","sadi-carnot","sadi-carnot","1796","1832","false","19세기의 거인 (1796~1832)","유럽","science","","","2709"
"saigo-takamori","saigo-takamori","saigo-takamori","1828","1877","false","19세기의 거인 (1828~1877)","동아시아","leadership","","","2963"
"sakamoto-ryoma","sakamoto-ryoma","sakamoto-ryoma","1836","1867","false","19세기의 거인 (1836~1867)","동아시아","society","","","2186"
"sally-ride","sally-ride","sally-ride","1951","2012","false","20세기의 거인 (1951~2012)","북미","science","","","2866"
"salome-alexandra","salome-alexandra","salome-alexandra","","","true","기원전 1세기의 거인 (기원전 139년~기원전 67년)","유럽","leadership","","","2825"
"salvador-dali","salvador-dali","salvador-dali","1904","1989","false","20세기의 거인 (1904~1989)","유럽","arts","","","2935"
"samudragupta","samudragupta","samudragupta","315","380","false","4세기의 거인 (315~380)","남아시아","leadership","","","2700"
"samuel-morse","samuel-morse","samuel-morse","1791","1872","false","19세기의 거인 (1791~1872)","유럽","science","","","2739"
"sandro-botticelli","sandro-botticelli","sandro-botticelli","1445","1510","false","15세기의 거인 (1445~1510)","유럽","arts","","","2866"
"sarah-moore-grimke","sarah-moore-grimke","sarah-moore-grimke","1792","1873","false","19세기의 거인 (1792~1873)","북미","society","","","2511"
"sarojini-naidu","sarojini-naidu","sarojini-naidu","1879","1949","true","20세기의 거인 (1879~1949)","남아시아","arts","","","2782"
"sei-shonagon","sei-shonagon","sei-shonagon","966","1025","false","10세기의 거인 (966~1025)","동아시아","arts","","","2680"
"selim-i","selim-i","selim-i","1470","1520","false","16세기의 거인 (1470~1520)","중동/북아프리카","leadership","","","2712"
"sen-no-rikyu","sen-no-rikyu","sen-no-rikyu","1522","1591","false","16세기의 거인 (1522~1591)","동아시아","arts","","","2580"
"septimius-severus","septimius-severus","septimius-severus","145","211","false","3세기의 거인 (145~211)","서/남아프리카","leadership","","","2362"
"shen-kuo","shen-kuo","shen-kuo","1031","1095","false","11세기의 거인 (1031~1095)","동아시아","science","","","2550"
"shin-saimdang","shin-saimdang","shin-saimdang","1504","1551","false","16세기의 거인 (1504~1551)","동아시아","arts","","","2569"
"shivaji","shivaji","shivaji","1630","1680","false","17세기의 거인 (1630~1680)","남아시아","leadership","","","2450"
"sima-yi","sima-yi","sima-yi","179","251","false","3세기의 거인 (179~251)","동아시아","leadership","","","2503"
"sin-ch-aeho","sin-ch-aeho","sin-ch-aeho","1880","1936","true","20세기의 거인 (1880~1936)","동아시아","society","","","2410"
"so-hui","so-hui","so-hui","942","998","false","10세기의 거인 (942~998)","동아시아","leadership","","","2365"
"sobhuza-i","sobhuza-i","sobhuza-i","1780","1839","true","19세기의 거인 (1780~1839)","서/남아프리카","leadership","","","2482"
"sofya-kovalevskaya","sofya-kovalevskaya","sofya-kovalevskaya","1850","1891","false","19세기의 거인 (1850~1891)","유럽","science","","","2624"
"solgeo","solgeo","solgeo","550","620","true","6세기의 거인 (550~620)","동아시아","arts","","","2552"
"sophie-germain","sophie-germain","sophie-germain","1776","1831","false","19세기의 거인 (1776~1831)","유럽","science","","","2592"
"spartacus","spartacus","spartacus","","","false","기원전 1세기의 거인 (111 BC~71 BC)","유럽","leadership","","","2406"
"stanley-kubrick","스탠리 큐브릭","stanley-kubrick","1928","1999","false","20세기의 거인 (1928~1999)","동남아시아","arts","","","2585"
"steve-jobs","steve-jobs","steve-jobs","1955","2011","false","20세기의 거인 (1955~2011)","남아시아","business","","","2939"
"su-qin","su-qin","su-qin","","","false","기원전 4세기의 거인 (B.C. 380~B.C. 284)","동아시아","philosophy","","","2597"
"su-shi","su-shi","su-shi","1037","1101","false","11세기의 거인 (1037~1101)","기타","arts","","","2470"
"sugawara-no-michizane","sugawara-no-michizane","sugawara-no-michizane","845","903","true","9세기의 거인 (845~903)","동아시아","philosophy","","","2565"
"suharto","suharto","suharto","1921","2008","false","20세기의 거인 (1921~2008)","동아시아","leadership","","","2257"
"sukarno","sukarno","sukarno","1901","1970","false","20세기의 거인 (1901~1970)","동아시아","leadership","","","2421"
"sulla","sulla","sulla","","","false","기원전 1세기의 거인 (138 BC~78 BC)","서/남아프리카","leadership","","","2443"
"t-s-eliot","t-s-eliot","t-s-eliot","1888","1965","false","20세기의 거인 (1888~1965)","남아시아","arts","","","2394"
"taejo-of-goryeo","taejo-of-goryeo","taejo-of-goryeo","877","943","true","10세기의 거인 (877~943)","동아시아","leadership","","","2506"
"taejo-of-joseon","taejo-of-joseon","taejo-of-joseon","1335","1408","false","14세기의 거인 (1335~1408)","동아시아","leadership","","","2812"
"takeda-shingen","takeda-shingen","takeda-shingen","1521","1573","false","16세기의 거인 (1521~1573)","동아시아","leadership","","","2611"
"tecumseh","tecumseh","tecumseh","1768","1813","true","19세기의 거인 (1768~1813)","중남미","society","","","2357"
"theodosius-i","theodosius-i","theodosius-i","347","395","false","4세기의 거인 (347~395)","유럽","leadership","","","2622"
"thomas-hardy","thomas-hardy","thomas-hardy","1840","1928","false","19세기의 거인 (1840~1928)","유럽","arts","","","2704"
"thomas-henry-huxley","thomas-henry-huxley","thomas-henry-huxley","1825","1895","false","19세기의 거인 (1825~1895)","유럽","science","","","2802"
"thomas-hobbes","thomas-hobbes","thomas-hobbes","1588","1679","true","17세기의 거인 (1588~1679)","유럽","philosophy","","","2482"
"thomas-sankara","thomas-sankara","thomas-sankara","1949","1987","false","20세기의 거인 (1949~1987)","서/남아프리카","leadership","","","2395"
"tiberius","tiberius","tiberius","","","false","1세기의 거인 (42 BC~37)","유럽","leadership","","","2667"
"titus","titus","titus","39","81","true","1세기의 거인 (39~81)","유럽","leadership","","","2952"
"togo-heihachiro","togo-heihachiro","togo-heihachiro","1848","1934","false","20세기의 거인 (1848~1934)","동아시아","leadership","","","2641"
"tommy-douglas","tommy-douglas","tommy-douglas","1904","1986","false","20세기의 거인 (1904~1986)","북미","leadership","","","2990"
"tomoe-gozen","tomoe-gozen","tomoe-gozen","1157","1247","false","12세기의 거인 (1157~1247)","동아시아","leadership","","","2537"
"toni-morrison","toni-morrison","toni-morrison","1931","2019","false","20세기의 거인 (1931~2019)","동아시아","arts","","","2754"
"toyotomi-hideyori","toyotomi-hideyori","toyotomi-hideyori","1593","1615","false","16세기의 거인 (1593~1615)","동아시아","leadership","","","2618"
"trajan","trajan","trajan","53","117","true","2세기의 거인 (53~117)","중동/북아프리카","leadership","","","2598"
"trota-of-salerno","트로타","trota-of-salerno","1090","1160","true","12세기의 거인 (1090~1160)","중동/북아프리카","science","","","2348"
"trung-sisters","trung-sisters","trung-sisters","12","43","true","1세기의 거인 (12~43)","동아시아","leadership","","","2516"
"tupac-amaru-ii","tupac-amaru-ii","tupac-amaru-ii","1738","1781","false","18세기의 거인 (1738~1781)","중남미","leadership","","","2515"
"uesugi-kenshin","uesugi-kenshin","uesugi-kenshin","1530","1578","true","16세기의 거인 (1530~1578)","동아시아","leadership","","","2542"
"uisang","uisang","uisang","625","702","false","7세기의 거인 (625~702)","동아시아","philosophy","","","2474"
"ulchi-mundok","ulchi-mundok","ulchi-mundok","550","620","true","7세기의 거인 (550~620)","동아시아","leadership","","","2545"
"ulysses-s-grant","ulysses-s-grant","ulysses-s-grant","1822","1885","false","19세기의 거인 (1822~1885)","중남미","leadership","","","2450"
"vera-rubin","베라 루빈","vera-rubin","1928","2016","false","20세기의 거인 (1928~2016)","중남미","science","","","2965"
"vespasian","vespasian","vespasian","9","79","false","1세기의 거인 (9~79)","중동/북아프리카","leadership","","","2525"
"vladimir-lenin","vladimir-lenin","vladimir-lenin","1870","1924","true","20세기의 거인 (1870~1924)","유럽","leadership","","","2363"
"vo-nguyen-giap","vo-nguyen-giap","vo-nguyen-giap","1911","2013","false","20세기의 거인 (1911~2013)","동아시아","leadership","","","2579"
"w-b-yeats","w-b-yeats","w-b-yeats","1865","1939","false","20세기의 거인 (1865~1939)","유럽","arts","","","2788"
"walter-gropius","walter-gropius","walter-gropius","1883","1969","false","20세기의 거인 (1883~1969)","유럽","arts","","","2752"
"wang-anshi","wang-anshi","wang-anshi","1021","1086","false","11세기의 거인 (1021~1086)","동아시아","leadership","","","2347"
"wang-yangming","wang-yangming","wang-yangming","1472","1529","false","16세기의 거인 (1472~1529)","동아시아","philosophy","","","2488"
"wangari-maathai","wangari-maathai","wangari-maathai","1940","2011","true","20세기의 거인 (1940~2011)","중동/북아프리카","society","","","2452"
